LOT #3 - Madewell/J.Crew Liquidation Bundle,,,,,,,
40 Pieces | Mixed Categories,,,,,,,
,,,,,,,
Description,Color,Style,Size,Category,Vendor,MSRP,Your Price
"BELLA TEE WTS SLUB., BK0070, S",BK0070,NS568,S,W KNITS,Madewell,$38.00,$3.80
"1X1 RIB EVERYDAY LS TEE -,RD5812,M",RD5812,CA961,M,W KNITS,J Crew Factory,$49.50,$4.95
"HAZEL FEMME MIXY TOP, BK0070, M",BK0070,NU637,M,W KNITS,Madewell,$52.00,$5.20
"COMPACT 1X1 CREW, BK0070, XS",BK0070,NY276,XS,W KNITS,Madewell,$55.00,$5.50
"LS PUFF TOP W/ SMOCK SL, WT0005, S",WT0005,NW945,S,W KNITS,Madewell,$58.00,$5.80
"FEMME CARDIGAN, BR8786, L",BR8786,NY339,L,W KNITS,Madewell,$58.00,$5.80
"COMPACT 1X1 CREW STRIPE, KI0799, S",KI0799,NV992,S,W KNITS,Madewell,$58.00,$5.80
"TARTAN PLACKET HENLEY T, NA6434, XL",NA6434,NS538,XL,G TOPS,J Crew Factory,$59.50,$5.95
"PERFECT LEGGING, BK0001, M",BK0001,NV971,M,W KNITS,J Crew Factory,$59.50,$5.95
"L/S PREMIUM TEE BASEBAL, KI0827, S",KI0827,NW627,S,W KNITS,Madewell,$68.00,$6.80
"LS TEXTURED CARDIGAN, NA0274, XL",NA0274,NV971,XL,W KNITS,Madewell,$75.00,$7.50
"MERINO WOOL-SILK SWEATER TANK, BR8786, S",BR8786,NW401,S,W SWEATERS,Madewell,$78.00,$7.80
"PINTUCK HIGH WAIST LINE, WT0152, 00",WT0152,NX183,0,W SHORTS,Madewell,$78.00,$7.80
"HIGH-RISE GIRLFRIEND CHINO.., BK0001, 6",BK0001,J6081,6,W PANTS,J Crew Factory,$79.50,$7.95
"OXFORD EASY Y-NECK BUTTON-UP, WT0005, L",WT0005,NX631,L,W SHIRTS,Madewell,$88.00,$8.80
"EASY Y-NECK BUTTON-UP SHIRT, BL8990, XL",BL8990,NY667,XL,W SHIRTS,Madewell,$88.00,$8.80
"ALEXA CHUNG COLORBLOCK, PP7983, XS",PP7983,BZ231,XS,W KNITS,Madewell,$88.00,$8.80
"OXFORD EASY Y-NECK BUTTON-UP, WT0005, L",WT0005,NX631,L,W SHIRTS,Madewell,$88.00,$8.80
"JUNE CREW CARDIGAN, WT0005, XS",WT0005,NV972,XS,W SWEATERS,Madewell,$88.00,$8.80
"LS TALLAHASSEE STRIPE R, KH0359, L",KH0359,CN049,L,M KNITS,J Crew Factory,$89.50,$8.95
"STRETCH POPLIN SIGNATURE SHI, PT8290, XL",PT8290,BT991,XL,W SHIRTS,J Crew Factory,$89.50,$8.95
"STRIPE MERINO VALERIA T, SR8899, M",SR8899,NY532,M,W SWEATERS,Madewell,$98.00,$9.80
"FRENCH RIB KNIT POLO, KF9954, L",KF9954,NW542,L,M KNITS,Madewell,$98.00,$9.80
"THE DEVOE SHIRT, KF9946, L",KF9946,CN105,L,M KNITS,Madewell,$98.00,$9.80
"STRAIGHT TECH CHINO, BL8133, 30/30",BL8133,NX517,30/30,M PANTS,J Crew Factory,$98.00,$9.80
"STRIPE MERINO VALERIA T, SR8899, S",SR8899,CL331,S,W SWEATERS,Madewell,$98.00,$9.80
"RUFFLE TIE NECK MINI DR, BK0001, 6",BK0001,CM877,6,W DRESSES,J Crew Factory,$118.00,$11.80
"WT WIDE LEG POCKET PANT,BK0001,T27",BK0001,CJ133,T27,W PANTS,J Crew Factory,$118.00,$11.80
"FTY UTILITY WIDE LEG CR, DM9417, 29",DM9417,CN233,29,W PANTS,J Crew Factory,$118.00,$11.80
"P LS KNIT MIX MIDI - PO, BK0001, PXL",BK0001,NY437,PXL,W DRESSES,J Crew Factory,$118.00,$11.80
"TIE-NECK LONG-SLEEVE TOP, BK0070, M",BK0070,NW993,M,W SHIRTS,Madewell,$118.00,$11.80
"P HW STRAIGHT LEG PANT, BK0001, P8",BK0001,NY664,P8,W PANTS,J Crew Factory,$118.00,$11.80
"SMOCKED-WAIST POPLIN MIDI SKI, BL0448, S",BL0448,NX631,S,W SKIRTS,Madewell,$118.00,$11.80
"TEST CAPRI - KIVANC, BK0070, 12",BK0070,NU637,12,W PANTS NON DENIM,Madewell,$118.00,$11.80
"THE ALLDAY 1991 STRAIGHT-, BR8729, 32/34",BR8729,NS352,32/34,MENS,Madewell,$128.00,$12.80
"GEMMA SKIRT -COMPACT CO, WT0005, 14",WT0005,NV576,14,W SKIRTS,Madewell,$128.00,$12.80
"LORIMER SOLID MERINO PU, BK5229, M",BK5229,NS688,M,W SWEATERS,Madewell,$128.00,$12.80
"SLIM JEANS IN BLACK, DM2275, 30/32",DM2275,NG296,30/32,M DENIM,Madewell,$138.00,$13.80
"PLEATED POPLIN PULL-ON PANT, GY5219, S",GY5219,NV974,S,MENS,Madewell,$138.00,$13.80
"PATTERN DOUBLE KNIT BLA, KF9905, 44",KF9905,CO986,44,M SUITING,J Crew Factory,$398.00,$39.80
,,,,,,,
,,,,,TOTALS:,"$3,977.00",$397.70
,,,,,AVG PER ITEM:,$99.43,$9.94
