LOT #5 - Madewell/J.Crew Liquidation Bundle,,,,,,,
40 Pieces | Mixed Categories,,,,,,,
,,,,,,,
Description,Color,Style,Size,Category,Vendor,MSRP,Your Price
"SHEER TIGHTS,BR8756,S",BR8756,NW940,S,W ACCESSORIES,J Crew,$29.50,$2.95
"UPDATED BRIGHTISIDE TAN, NA0054, XS",NA0054,CP776,XS,W KNITS,Madewell,$38.00,$3.80
"RINGER PERFECT CREWNECK, KI0816, S",KI0816,NM373,S,W KNITS,Madewell,$48.00,$4.80
"RINGER PERFECT CREWNECK, KI0816, S",KI0816,NM373,S,W KNITS,Madewell,$48.00,$4.80
"NEW CHINO PANT - BUTTER, BL8133, 7",BL8133,CM727,7,G BOTTOMS,J Crew Factory,$49.50,$4.95
"SLINKY MOCKNECK DRAPED, BR8786, L",BR8786,NW948,L,W KNITS,Madewell,$55.00,$5.50
"PH SHELL LINK CHARM NEC, EE7744, ONE S",EE7744,AD217,ONE S,W JEWELRY,Madewell,$58.00,$5.80
"FEMME CARDIGAN, BR8786, XL",BR8786,AZ301,XL,W KNITS,Madewell,$58.00,$5.80
"LS PUFF TOP W/ SMOCK SL, WT0005, M",WT0005,NV912,M,W KNITS,Madewell,$58.00,$5.80
"UNIFORM TWILL SKORT, NA5977, 8",NA5977,CD602,8,G BOTTOMS,J Crew Factory,$59.50,$5.95
"B FLEX SLIM FIT CHINO PANT, NA0965, 14",NA0965,CF936,14,B BOTTOMS,J Crew Factory,$59.50,$5.95
"WOVEN RUFFLE STRIPE HENLE,YD9136,M",YD9136,NW343,M,W KNITS,J Crew Factory,$69.50,$6.95
"PULL ON TECH PANTS, BL8133, 2",BL8133,CH459,2,B BOTTOMS,J Crew Factory,$69.50,$6.95
"LILLA SS CARDIGAN, BR6590, L",BR6590,NX631,L,W SWEATERS,Madewell,$75.00,$7.50
"V-NECK SLIP CAMI, NA0329, L",NA0329,E5957,L,W SHIRTS,Madewell,$78.00,$7.80
"HIGH-RISE GIRLFRIEND CHINO.., BL8133, 6",BL8133,BF621,6,W PANTS,J Crew Factory,$79.50,$7.95
"STRIPED POLO SWEATSHIRT,KI0361,S",KI0361,AX632,S,B TOPS,J Crew Factory,$79.50,$7.95
"THE WEEKEND SHORT, BL8792, 36",BL8792,CP471,36,M SHORTS,Madewell,$88.00,$8.80
"PUFF-SLEEVE BUTTON-UP SHIRT I, WT0005, S",WT0005,NW627,S,W SHIRTS,Madewell,$88.00,$8.80
"GOLD HEART LOAFER, EC7246, K2",EC7246,NU267,K2,G NON APPAREL,J Crew Factory,$89.50,$8.95
"GOLD HEART LOAFER, EC7246, K4",EC7246,NW010,K4,G NON APPAREL,J Crew Factory,$89.50,$8.95
"BIAS SLIP SKIRT PRINT,PT8355,XL",PT8355,NW061,XL,W SKIRTS,J Crew Factory,$89.50,$8.95
"SOLID LUREX HEM SWEATER, GR8371, M",GR8371,CP566,M,G TOPS,J Crew Factory,$89.50,$8.95
"P TIE FRONT LS CRINKLE, NA6434, PXS",NA6434,CN422,PXS,W SHIRTS,J Crew Factory,$89.50,$8.95
"P RUFFLE BTTN DOWN - SO, WT0002, PXS",WT0002,CN039,PXS,W SHIRTS,J Crew Factory,$98.00,$9.80
"BTTN SHOULDER TIE WAIST, YD3718, XL",YD3718,CL446,XL,W DRESSES,J Crew Factory,$110.00,$11.00
"SLIM CHINO - EASY WAIST -,BL8133,32/32",BL8133,NV126,32/32,M PANTS,J Crew Factory,$118.00,$11.80
"FTY STRAIGHT FLEX DENIM, DM5322, 31/32",DM5322,NY257,31/32,M PANTS,J Crew Factory,$118.00,$11.80
"RUFFLE TIE NECK MINI DR, BK0001, 2",BK0001,BP969,2,W DRESSES,J Crew Factory,$118.00,$11.80
"WT FTY HIGH RISE STOVEP, DM8142, T34",DM8142,CB001,T34,W PANTS,J Crew Factory,$118.00,$11.80
"CUTAWAY TUXEDO SHIRT IN POPLI, WT0005, S",WT0005,NY341,S,W SHIRTS,Madewell,$128.00,$12.80
"CUTAWAY TUXEDO SHIRT IN POPL, WT0005, XL",WT0005,NY341,XL,W SHIRTS,Madewell,$128.00,$12.80
"P LS/PANTS KNIT SLEEP SET,YD9056,PXS",YD9056,CK479,PXS,W LOUNGE,J Crew Factory,$128.00,$12.80
"P LIZZIE WIDE LEG CORD, NA6491, P31",NA6491,CO104,P31,W PANTS,J Crew Factory,$138.00,$13.80
"FULL LENGTH KICK OUT IN DEVI, DM7745, 29",DM7745,NR494,29,W PANTS DENIM,Madewell,$138.00,$13.80
"1991 STRAIGHT ALLDAY PA, BL0497, 29/30",BL0497,NW539,29/30,MENS,Madewell,$138.00,$13.80
"THE ATHLETIC ALLDAY SLIM, GY0245, 32/30",GY0245,NW540,32/30,MENS,Madewell,$138.00,$13.80
"P HR WIDE LEG FULL LENG, WZ7108, P10",WZ7108,CM075,P10,W PANTS,J Crew Factory,$148.00,$14.80
"CIRCLE SKIRT IN MOSBY, DM9329, 32",DM9329,NW317,32,MW DENIM DRESSING,Madewell,$148.00,$14.80
"KEERAN DRESS - MID WT P, BR8786, S",BR8786,NX637,S,W DRESSES,Madewell,$158.00,$15.80
,,,,,,,
,,,,,TOTALS:,"$3,705.50",$370.55
,,,,,AVG PER ITEM:,$92.64,$9.26
