LOT #11 - Madewell/J.Crew Liquidation Bundle,,,,,,,
40 Pieces | Mixed Categories,,,,,,,
,,,,,,,
Description,Color,Style,Size,Category,Vendor,MSRP,Your Price
"ATHLETIC STRIPE CAMP SO, BL7218, ONE S",BL7218,NZ745,ONE S,W ACCESSORIES,Madewell,$15.00,$1.50
"CANVAS BASEBALL HAT, RD5890, ONE S",RD5890,NU641,ONE S,W ACCESSORIES,Madewell,$35.00,$3.50
"CANVAS BASEBALL HAT, NA0255, ONE S",NA0255,NU641,ONE S,W ACCESSORIES,Madewell,$35.00,$3.50
"WOOL BASEBALL HAT, RD6255, ONE S",RD6255,NW981,ONE S,W ACCESSORIES,Madewell,$45.00,$4.50
"WOOL BASEBALL HAT, BA0123, ONE S",BA0123,NW981,ONE S,W ACCESSORIES,Madewell,$45.00,$4.50
"ADA TWIST THONG EASY SU, EC7246, 11-M",EC7246,CJ372,11-M,W FOOTWEAR,J Crew Factory,$49.50,$4.95
"NARROW LEATHER BELT (UP, BR6209, 30",BR6209,NM496,30,MENS,Madewell,$52.00,$5.20
"NARROW LEATHER BELT (UP, BR6209, 32",BR6209,NM496,32,MENS,Madewell,$52.00,$5.20
"MEDIUM PERFECT LEATHER BELT., BK5229, XS",BK5229,B3052,XS,W ACCESSORIES,Madewell,$58.00,$5.80
"MEDIUM PERFECT LEATHER BELT., BK5229, XS",BK5229,B3052,XS,W ACCESSORIES,Madewell,$58.00,$5.80
"D461485 GLITTER MOCASSIN,EE8562,K11",EE8562,BS628,K11,G NON APPAREL,J Crew Factory,$59.50,$5.95
"MAVERICK BELT,BR6311,34",BR6311,NW027,34,MENS,Madewell,$68.00,$6.80
"OVAL BUCKLE BELT., BR6311, XS",BR6311,NS965,XS,W ACCESSORIES,Madewell,$78.00,$7.80
"TRIPLE METAL KEEPER BELT: SUE, BL9072, L",BL9072,NR623,L,W ACCESSORIES,Madewell,$78.00,$7.80
"OVAL BUCKLE BELT., BK5229, L",BK5229,NS965,L,W ACCESSORIES,Madewell,$78.00,$7.80
"OVAL BUCKLE BELT., BK5229, S",BK5229,NS965,S,W ACCESSORIES,Madewell,$78.00,$7.80
"SUEDE SCULPTURAL BUCKLE LEATH, GR5583, S",GR5583,NU165,S,W ACCESSORIES,Madewell,$78.00,$7.80
"EMMA MESH SLIDE SANDAL, NA6167, 9-M",NA6167,CI955,9-M,W FOOTWEAR,J Crew Factory,$79.50,$7.95
"VELVET MARYJANE, RD6262, K2",RD6262,CL826,K2,G NON APPAREL,J Crew Factory,$79.50,$7.95
"AMY THONG ANKLE STRAP S, EE4067, 8-M",EE4067,CI956,8-M,W FOOTWEAR,J Crew Factory,$79.50,$7.95
"AMY THONG ANKLE STRAP S, EE4067, 10-M",EE4067,CI956,10-M,W FOOTWEAR,J Crew Factory,$79.50,$7.95
"GOLD GLITTER SNEAKER, YL0114, K4",YL0114,CJ616,K4,G NON APPAREL,J Crew Factory,$89.50,$8.95
"GOLD HEART LOAFER, EC7246, K4",EC7246,CL821,K4,G NON APPAREL,J Crew Factory,$89.50,$8.95
"MICROSUEDE LOAFER, EE6597, K5",EE6597,BX411,K5,B NON APPAREL,J Crew Factory,$89.50,$8.95
"GOLD HEART LOAFER, EC7246, K3",EC7246,CL821,K3,G NON APPAREL,J Crew Factory,$89.50,$8.95
"LEOPARD SUEDED ZOE SLIN, EE6616, 9-M",EE6616,CJ355,9-M,W FOOTWEAR,J Crew Factory,$118.00,$11.80
"BIT SLIP ON MULE, BK0001, 9-M",BK0001,CE500,9-M,W FOOTWEAR,J Crew Factory,$118.00,$11.80
"VERA SUEDED TIED UP MUL, BR5644, 7-M",BR5644,CL331,7-M,W FOOTWEAR,J Crew Factory,$118.00,$11.80
"VERA SUEDED TIED UP MUL, EE6616, 8H-M",EE6616,CL331,8H-M,W FOOTWEAR,J Crew Factory,$118.00,$11.80
"SLINGBACK ZOE D'ORSAY FLA,EE5776,8-M",EE5776,BZ219,8-M,W FOOTWEAR,J Crew Factory,$118.00,$11.80
"SLINGBACK ZOE D'ORSAY FL,EE7275,6H-M",EE7275,BZ220,6H-M,W FOOTWEAR,J Crew Factory,$118.00,$11.80
"BIT SLIP ON MULE, BK0001, 8-M",BK0001,CE500,8-M,W FOOTWEAR,J Crew Factory,$118.00,$11.80
"SLINGBACK ZOE D'ORSAY FL,EE7275,9H-M",EE7275,BZ220,9H-M,W FOOTWEAR,J Crew Factory,$118.00,$11.80
"VERA SUEDED TIED UP MUL, EE6616, 9-M",EE6616,CL331,9-M,W FOOTWEAR,J Crew Factory,$118.00,$11.80
"BASIC BALLERINA FLAT -, PT4790, 8H-M",PT4790,BT268,8H-M,W FOOTWEAR,J Crew Factory,$118.00,$11.80
"NELLY VELVET SQUARE MJ FL,BK0001,8H-M",BK0001,CL403,8H-M,W FOOTWEAR,J Crew Factory,$148.00,$14.80
"NELLY VELVET SQUARE MJ, RD6224, 6-M",RD6224,CL403,6-M,W FOOTWEAR,J Crew Factory,$148.00,$14.80
"NELLY VELVET SQUARE MJ, BL7380, 9H-M",BL7380,CL403,9H-M,W FOOTWEAR,J Crew Factory,$148.00,$14.80
"NELLY VELVET SQUARE MJ, RD6224, 6H-M",RD6224,CL403,6H-M,W FOOTWEAR,J Crew Factory,$148.00,$14.80
null,null,null,null,null,null,$5.00,$5.00
,,,,,,,
,,,,,TOTALS:,"$3,410.00",$341.00
,,,,,AVG PER ITEM:,$87.44,$8.74
