LOT #4 - Madewell/J.Crew Liquidation Bundle,,,,,,,
40 Pieces | Mixed Categories,,,,,,,
,,,,,,,
Description,Color,Style,Size,Category,Vendor,MSRP,Your Price
"SHEER TIGHTS,BR8756,S",BR8756,NW940,S,W ACCESSORIES,J Crew,$29.50,$2.95
"CANVAS BASEBALL HAT, YL0158, ONE S",YL0158,NU641,ONE S,W ACCESSORIES,Madewell,$35.00,$3.50
"COTTON PERFECT CREWNECK TEE, NA0054, XS",NA0054,NO830,XS,W KNITS,Madewell,$45.00,$4.50
"NEW LS GIRLFRIEND CREWN, GR7467, S",GR7467,CL132,S,W KNITS,J Crew Factory,$45.00,$4.50
"SIDE CINCH FEMME TOP, WT0005, XS",WT0005,NY280,XS,W KNITS,Madewell,$45.00,$4.50
"LS MATERNITY CREWNECK T, WT0002, M",WT0002,NM162,M,W KNITS,J Crew Factory,$49.50,$4.95
"SUEDED JERSEY SS POLO, BL7729, L",BL7729,NW981,L,M KNITS,J Crew Factory,$49.50,$4.95
"HAZEL FEMME MIXY TOP, BK0070, M",BK0070,CB985,M,W KNITS,Madewell,$52.00,$5.20
"SLINKY MOCKNECK DRAPED, NA0274, XS",NA0274,NV912,XS,W KNITS,Madewell,$55.00,$5.50
"UNIFORM TWILL SKORT, BL8133, 7",BL8133,AZ588,7,G BOTTOMS,J Crew Factory,$59.50,$5.95
"PV THE VINTAGE SHRUNKEN TEE, BR6590, S",BR6590,NW942,S,W KNITS,Madewell,$65.00,$6.50
"MERINO SILK LYRA BOATNE, HT3195, M",HT3195,NS765,M,W SWEATERS,Madewell,$68.00,$6.80
"PEARL/BLANKET STITCH EM, BK0001, L",BK0001,NX631,L,W KNITS,J Crew Factory,$69.50,$6.95
"B LS THOMPSON SOLID STRETCH, WT0002, 16",WT0002,J5099,16,B TOPS,J Crew Factory,$69.50,$6.95
"P HIGH-RISE GIRLFRIEND CHINO, BK0001, P8",BK0001,J5100,P8,W PANTS,J Crew Factory,$79.50,$7.95
"9"" FLEX CHINO, WT0002, 34",WT0002,CP562,34,M SHORTS,J Crew Factory,$79.50,$7.95
"OXFORD OVERSIZED BUTTON-UP SH, WT0005, M",WT0005,NX630,M,W SHIRTS,Madewell,$98.00,$9.80
"EASY Y-NECK BUTTON-UP SHIRT I, WR1490, L",WR1490,NV087,L,W SHIRTS,Madewell,$98.00,$9.80
"RELAXED MOCKNECK SWEATS, NA0274, L",NA0274,NX114,L,W KNITS,Madewell,$98.00,$9.80
"P SLIM STRAIGHT CAPRI PAN,BK0001,P0",BK0001,CL446,P0,W PANTS,J Crew Factory,$98.00,$9.80
"CORD MINIMAL MINI SKIRT, BR8791, 14",BR8791,NY338,14,W SKIRTS,Madewell,$98.00,$9.80
"MX MENS UNTUCKED SHIRT, WV2630, L",WV2630,CL515,L,M WOVEN SHIRTS,J Crew Factory,$98.00,$9.80
"MERINO SILK WIDE RIB ABBY P, SR8495, XXS",SR8495,NX028,XXS,W SWEATERS,Madewell,$108.00,$10.80
"MS TUXEDO SHIRT - NEW, WT0002, 16H34",WT0002,CO282,16H34,M WOVEN SHIRTS,J Crew Factory,$115.00,$11.50
"SMOCKED-WAIST POPLIN MIDI SKI, BL0448, S",BL0448,NW627,S,W SKIRTS,Madewell,$118.00,$11.80
"LIZZIE WIDE LEG POCKET PANT, NA6445, 33",NA6445,NW012,33,W PANTS,J Crew Factory,$118.00,$11.80
"TEST CAPRI - KIVANC, BK0070, 2",BK0070,NW627,2,W PANTS NON DENIM,Madewell,$118.00,$11.80
"STRAIGHT TRUTEMP 365, GY7457, 32/32",GY7457,BZ231,32/32,M PANTS,J Crew Factory,$118.00,$11.80
"BELT LOOP UTILITY LONG, NA5334, 31",NA5334,CC679,31,W PANTS NON DENIM,Madewell,$118.00,$11.80
"SYDNEY SHOULDER BAG, BR5499, ONE S",BR5499,CI098,ONE S,W BAGS,Madewell,$118.00,$11.80
"FTY ATHLETIC SLIM FLEX DE,DM5324,40/32",DM5324,AZ855,40/32,M PANTS,J Crew Factory,$128.00,$12.80
"P FTY WIDE LEG CROP CUT, DM7279, P31",DM7279,CB372,P31,W PANTS,J Crew Factory,$128.00,$12.80
"LS FLANNEL SLEEP SET -, PT8608, XS",PT8608,CO077,XS,W LOUNGE,J Crew Factory,$128.00,$12.80
"FLARED WIDE-LEG CROP JEANS I, WT8315, 27",WT8315,NU005,27,W PANTS DENIM,Madewell,$138.00,$13.80
"PLEATED MIDI SKIRT - TW, WR1915, 4",WR1915,NW437,4,W SKIRTS,Madewell,$138.00,$13.80
"FLUTED MIDI SKIRT IN TILE WH, DM1626, 23",DM1626,NU507,23,MW DENIM DRESSING,Madewell,$138.00,$13.80
"RUFFLENECK SWEATER DRES, SR7785, L",SR7785,CP557,L,W DRESSES,J Crew Factory,$138.00,$13.80
"P MOCKNECK KNIT MIXI -, KI0644, PXXS",KI0644,CP559,PXXS,W DRESSES,J Crew Factory,$138.00,$13.80
"B FTY LEGACY BLAZER, BL8133, 14",BL8133,BE670,14,B TOPS,J Crew Factory,$178.00,$17.80
"OFFICER PANTS IN WOOL BLEND, WZ7909, 36",WZ7909,NX967,36,MENS,Madewell,$188.00,$18.80
,,,,,,,
,,,,,TOTALS:,"$3,855.00",$385.50
,,,,,AVG PER ITEM:,$96.38,$9.64
