LOT #1 - Madewell/J.Crew Liquidation Bundle,,,,,,,,,
40 Pieces | Mixed Categories,,,,,,,,,
,,,,,,,,,
Description,Color,Style,Size,Category,Vendor,MSRP,Your Price,cost,profit
"VINTAGE SS TEE., WT0002, L",WT0002,NW401,L,M KNITS,J Crew Factory,$39.50,$3.95,$2.37,$1.58
"RINGER PERFECT CREWNECK, KI0816, S",KI0816,NM162,S,W KNITS,Madewell,$48.00,$4.80,$2.88,$1.92
"SCOOP NECK PUFF TEE, NA0274, S",NA0274,NY575,S,W KNITS,Madewell,$52.00,$5.20,$3.12,$2.08
"SLINKY MOCKNECK DRAPED, BL0448, M",BL0448,NW627,M,W KNITS,Madewell,$55.00,$5.50,$3.30,$2.20
"LS PUFF TOP W/ SMOCK SLV, RD0213, S",RD0213,NV971,S,W KNITS,Madewell,$58.00,$5.80,$3.48,$2.32
"FEMME CARDIGAN, BR8786, M",BR8786,NY272,M,W KNITS,Madewell,$58.00,$5.80,$3.48,$2.32
"LS PUFF TOP W/ SMOCK SL, WT0005, S",WT0005,NW945,S,W KNITS,Madewell,$58.00,$5.80,$3.48,$2.32
"RUFFLE HEM CORD SKIRT, BR6863, 14",BR6863,CB985,14,G BOTTOMS,J Crew Factory,$59.50,$5.95,$3.57,$2.38
"PV THE VINTAGE SHRUNKEN TEE, BR6590, S",BR6590,NW942,S,W KNITS,Madewell,$65.00,$6.50,$3.90,$2.60
"L/S PREMIUM TEE BASEBAL, KI0826, XXL",KI0826,NR366,XXL,W KNITS,Madewell,$68.00,$6.80,$4.08,$2.72
"L/S PREMIUM TEE BASEBAL, KI0827, S",KI0827,NW627,S,W KNITS,Madewell,$68.00,$6.80,$4.08,$2.72
"ALEXA CHUNG SS PRINTED, PP7952, XS",PP7952,NW948,XS,W KNITS,Madewell,$68.00,$6.80,$4.08,$2.72
"SLIM TECH CHINO, BL8133, 12",BL8133,NR756,12,B BOTTOMS,J Crew Factory,$69.50,$6.95,$4.17,$2.78
"LILLA SS CARDIGAN, BR6590, L",BR6590,NX631,L,W SWEATERS,Madewell,$75.00,$7.50,$4.50,$3.00
"BOUCL??-KNIT CREWNECK SWEATE, NA6817, XXS",NA6817,NS649,XXS,W SWEATERS,Madewell,$75.00,$7.50,$4.50,$3.00
"TIPPED MICRO BOUCLE EZR, NA0274, XL",NA0274,NN093,XL,W SWEATERS,Madewell,$78.00,$7.80,$4.68,$3.12
"TIPPED MICRO BOUCLE EZR, NA0274, S",NA0274,CO700,S,W SWEATERS,Madewell,$78.00,$7.80,$4.68,$3.12
"SLIM FLEX CHINO, BL7361, 32/32",BL7361,NX774,32/32,M PANTS,J Crew Factory,$79.50,$7.95,$4.77,$3.18
"SLVLESS PERFECT FIT SHI, WT0002, S",WT0002,E5957,S,W SHIRTS,J Crew Factory,$79.50,$7.95,$4.77,$3.18
"OXFORD EASY Y-NECK BUTTON-UP, WT0005, XS",WT0005,BW510,XS,W SHIRTS,Madewell,$88.00,$8.80,$5.28,$3.52
"OXFORD EASY Y-NECK BUTTON-UP, WT0005, S",WT0005,NW526,S,W SHIRTS,Madewell,$88.00,$8.80,$5.28,$3.52
"PUFF-SLEEVE BUTTON-UP SHIRT, BR8786, XS",BR8786,NW501,XS,W SHIRTS,Madewell,$88.00,$8.80,$5.28,$3.52
